구_x,동,전용면적,층,추정월세,업종,구_y,추정매출
서대문구,홍은동,50,1,172.35146781462467,슈퍼마켓,서대문구,766.5591463414635
서대문구,홍은동,50,1,172.35146781462467,음식점,서대문구,340.9530487804878
서대문구,홍은동,50,1,172.35146781462467,카페,서대문구,341.6061224489796
서대문구,홍은동,50,1,172.35146781462467,학원,서대문구,398.16474358974364
서대문구,홍제동,50,1,178.82902823482527,슈퍼마켓,서대문구,720.7251968503937
서대문구,홍제동,50,1,178.82902823482527,음식점,서대문구,387.85312500000003
서대문구,홍제동,50,1,178.82902823482527,카페,서대문구,183.61160714285717
서대문구,홍제동,50,1,178.82902823482527,학원,서대문구,376.6247967479675
서대문구,남가좌동,50,1,181.63745883987997,슈퍼마켓,서대문구,951.8709302325583
서대문구,남가좌동,50,1,181.63745883987997,음식점,서대문구,365.53000000000003
서대문구,남가좌동,50,1,181.63745883987997,카페,서대문구,196.23650793650793
서대문구,남가좌동,50,1,181.63745883987997,학원,서대문구,566.7703389830508
서대문구,북가좌동,50,1,181.99106089480705,슈퍼마켓,서대문구,617.375
서대문구,북가좌동,50,1,181.99106089480705,음식점,서대문구,541.3476851851851
서대문구,북가좌동,50,1,181.99106089480705,카페,서대문구,154.737
서대문구,북가좌동,50,1,181.99106089480705,학원,서대문구,365.50094339622643
광진구,광장동,50,1,182.68906612389367,슈퍼마켓,광진구,665.4725000000001
광진구,광장동,50,1,182.68906612389367,음식점,광진구,568.2325000000001
광진구,광장동,50,1,182.68906612389367,카페,광진구,473.08953488372094
광진구,광장동,50,1,182.68906612389367,학원,광진구,192.15625000000003
서대문구,북아현동,50,1,188.05731797138392,슈퍼마켓,서대문구,619.4711111111112
서대문구,북아현동,50,1,188.05731797138392,음식점,서대문구,557.8375000000001
서대문구,북아현동,50,1,188.05731797138392,카페,서대문구,132.86428571428573
서대문구,북아현동,50,1,188.05731797138392,학원,서대문구,490.27000000000004
광진구,구의동,50,1,190.42281081835625,슈퍼마켓,광진구,637.5525423728815
광진구,구의동,50,1,190.42281081835625,음식점,광진구,554.4273631840797
광진구,구의동,50,1,190.42281081835625,카페,광진구,447.5189440993789
광진구,구의동,50,1,190.42281081835625,학원,광진구,407.471875
송파구,오금동,50,1,191.43983130128345,슈퍼마켓,송파구,989.5760416666668
송파구,오금동,50,1,191.43983130128345,음식점,송파구,583.4150943396227
송파구,오금동,50,1,191.43983130128345,카페,송파구,240.03064516129035
송파구,오금동,50,1,191.43983130128345,학원,송파구,603.2125000000001
광진구,군자동,50,1,191.74924415492268,슈퍼마켓,광진구,733.205
광진구,군자동,50,1,191.74924415492268,음식점,광진구,836.9476923076924
광진구,군자동,50,1,191.74924415492268,카페,광진구,213.42340425531918
광진구,군자동,50,1,191.74924415492268,학원,광진구,421.0066666666667
송파구,가락동,50,1,194.44955207731007,슈퍼마켓,송파구,1100.0
송파구,가락동,50,1,194.44955207731007,음식점,송파구,607.6062500000002
송파구,가락동,50,1,194.44955207731007,카페,송파구,406.15781250000003
송파구,가락동,50,1,194.44955207731007,학원,송파구,418.03173076923076
송파구,풍납동,50,1,195.085094799276,슈퍼마켓,송파구,1443.9236842105265
송파구,풍납동,50,1,195.085094799276,음식점,송파구,258.14250000000004
송파구,풍납동,50,1,195.085094799276,카페,송파구,181.4725
송파구,풍납동,50,1,195.085094799276,학원,송파구,440.31428571428575
광진구,중곡동,50,1,196.70773576817564,슈퍼마켓,광진구,741.9720000000001
광진구,중곡동,50,1,196.70773576817564,음식점,광진구,348.84307432432433
광진구,중곡동,50,1,196.70773576817564,카페,광진구,169.165503875969
광진구,중곡동,50,1,196.70773576817564,학원,광진구,355.09833333333336
송파구,거여동,50,1,197.08527763098476,음식점,송파구,572.0825000000001
송파구,거여동,50,1,197.08527763098476,카페,송파구,214.4541666666667
송파구,거여동,50,1,197.08527763098476,학원,송파구,603.7307692307693
광진구,자양동,50,1,198.52813990153103,슈퍼마켓,광진구,609.5190058479534
광진구,자양동,50,1,198.52813990153103,음식점,광진구,349.9743902439025
광진구,자양동,50,1,198.52813990153103,카페,광진구,282.627519379845
광진구,자양동,50,1,198.52813990153103,학원,광진구,485.4147398843931
송파구,문정동,50,1,201.9346177644812,슈퍼마켓,송파구,929.7049019607842
송파구,문정동,50,1,201.9346177644812,음식점,송파구,729.7812500000001
송파구,문정동,50,1,201.9346177644812,카페,송파구,299.7551886792453
송파구,문정동,50,1,201.9346177644812,학원,송파구,411.09285714285716
서대문구,연희동,50,1,203.6977218503788,슈퍼마켓,서대문구,710.5083333333333
서대문구,연희동,50,1,203.6977218503788,음식점,서대문구,666.9292993630573
서대문구,연희동,50,1,203.6977218503788,카페,서대문구,301.69693251533744
서대문구,연희동,50,1,203.6977218503788,학원,서대문구,389.92155172413794
강남구,개포동,50,1,210.90091186758235,슈퍼마켓,강남구,285.3125
강남구,개포동,50,1,210.90091186758235,음식점,강남구,543.5532142857144
강남구,개포동,50,1,210.90091186758235,카페,강남구,273.94342105263155
강남구,개포동,50,1,210.90091186758235,학원,강남구,597.389375
송파구,방이동,50,1,213.1334149250414,슈퍼마켓,송파구,879.296
송파구,방이동,50,1,213.1334149250414,음식점,송파구,723.90725
송파구,방이동,50,1,213.1334149250414,카페,송파구,406.64705882352945
송파구,방이동,50,1,213.1334149250414,학원,송파구,576.2295
광진구,능동,50,1,214.4812505363883,슈퍼마켓,광진구,1807.6666666666667
광진구,능동,50,1,214.4812505363883,음식점,광진구,734.5317073170733
광진구,능동,50,1,214.4812505363883,카페,광진구,339.6708333333334
광진구,능동,50,1,214.4812505363883,학원,광진구,365.52592592592595
광진구,화양동,50,1,216.23061460634057,슈퍼마켓,광진구,742.1571428571431
광진구,화양동,50,1,216.23061460634057,음식점,광진구,585.9012500000001
광진구,화양동,50,1,216.23061460634057,카페,광진구,356.35805084745766
광진구,화양동,50,1,216.23061460634057,학원,광진구,476.9875
송파구,장지동,50,1,217.54153384780665,슈퍼마켓,송파구,323.8125
송파구,장지동,50,1,217.54153384780665,음식점,송파구,574.3008333333335
송파구,장지동,50,1,217.54153384780665,카페,송파구,160.94000000000003
송파구,장지동,50,1,217.54153384780665,학원,송파구,324.78285714285715
송파구,마천동,50,1,217.89343588243992,슈퍼마켓,송파구,776.8933333333334
송파구,마천동,50,1,217.89343588243992,음식점,송파구,245.64316239316244
송파구,마천동,50,1,217.89343588243992,카페,송파구,147.4982142857143
송파구,마천동,50,1,217.89343588243992,학원,송파구,178.43333333333337
강남구,도곡동,50,1,221.68144359409283,슈퍼마켓,강남구,441.6805555555556
강남구,도곡동,50,1,221.68144359409283,음식점,강남구,580.8634615384614
강남구,도곡동,50,1,221.68144359409283,카페,강남구,655.7043103448275
강남구,세곡동,50,1,221.9577325011032,슈퍼마켓,강남구,1332.3326923076925
강남구,세곡동,50,1,221.9577325011032,음식점,강남구,695.7994382022472
강남구,세곡동,50,1,221.9577325011032,카페,강남구,458.963698630137
강남구,세곡동,50,1,221.9577325011032,학원,강남구,945.6537037037039
강남구,대치동,50,1,223.8717544719428,슈퍼마켓,강남구,967.4443298969073
강남구,대치동,50,1,223.8717544719428,음식점,강남구,938.1185279187819
강남구,대치동,50,1,223.8717544719428,카페,강남구,591.5379581151832
강남구,대치동,50,1,223.8717544719428,학원,강남구,951.6320000000001
송파구,삼전동,50,1,224.38360847278148,슈퍼마켓,송파구,1750.85625
송파구,삼전동,50,1,224.38360847278148,음식점,송파구,591.7587500000001
송파구,삼전동,50,1,224.38360847278148,카페,송파구,295.5396551724138
송파구,삼전동,50,1,224.38360847278148,학원,송파구,593.4570512820513
송파구,석촌동,50,1,230.3312141316597,슈퍼마켓,송파구,569.8993975903616
송파구,석촌동,50,1,230.3312141316597,음식점,송파구,510.85375000000005
송파구,석촌동,50,1,230.3312141316597,카페,송파구,167.57529411764708
송파구,석촌동,50,1,230.3312141316597,학원,송파구,510.4253846153847
송파구,잠실동,50,1,242.23647796096765,슈퍼마켓,송파구,1053.4900000000002
송파구,잠실동,50,1,242.23647796096765,음식점,송파구,627.7315533980583
송파구,잠실동,50,1,242.23647796096765,카페,송파구,556.5320224719102
송파구,잠실동,50,1,242.23647796096765,학원,송파구,747.6906250000001
송파구,송파동,50,1,245.4992535839184,슈퍼마켓,송파구,980.944927536232
송파구,송파동,50,1,245.4992535839184,음식점,송파구,569.4588607594937
송파구,송파동,50,1,245.4992535839184,카페,송파구,352.26640625000005
송파구,송파동,50,1,245.4992535839184,학원,송파구,395.48606557377053
강남구,역삼동,50,1,309.2996402450893,슈퍼마켓,강남구,951.0647239263803
강남구,역삼동,50,1,309.2996402450893,음식점,강남구,702.5993788819876
강남구,역삼동,50,1,309.2996402450893,카페,강남구,486.6521352313168
강남구,역삼동,50,1,309.2996402450893,학원,강남구,918.1214285714287
강남구,일원동,50,1,373.200668181672,슈퍼마켓,강남구,572.5775
강남구,일원동,50,1,373.200668181672,음식점,강남구,571.5325000000001
강남구,일원동,50,1,373.200668181672,카페,강남구,208.34000000000003
강남구,일원동,50,1,373.200668181672,학원,강남구,324.5275
강남구,논현동,50,1,376.0684138795217,슈퍼마켓,강남구,883.547191011236
강남구,논현동,50,1,376.0684138795217,음식점,강남구,761.2885767790264
강남구,논현동,50,1,376.0684138795217,카페,강남구,402.45000000000005
강남구,논현동,50,1,376.0684138795217,학원,강남구,504.05563380281694
강남구,청담동,50,1,384.3610043472178,슈퍼마켓,강남구,995.0285714285715
강남구,청담동,50,1,384.3610043472178,음식점,강남구,1027.8732558139536
강남구,청담동,50,1,384.3610043472178,카페,강남구,453.09615384615387
강남구,청담동,50,1,384.3610043472178,학원,강남구,492.0895833333334
강남구,신사동,50,1,396.3806471472503,슈퍼마켓,강남구,818.0975000000001
강남구,신사동,50,1,396.3806471472503,음식점,강남구,688.1765
강남구,신사동,50,1,396.3806471472503,카페,강남구,581.8261194029851
강남구,신사동,50,1,396.3806471472503,학원,강남구,958.0725000000001
강남구,삼성동,50,1,418.2734336089186,슈퍼마켓,강남구,1018.9168000000001
강남구,삼성동,50,1,418.2734336089186,음식점,강남구,806.1196721311476
강남구,삼성동,50,1,418.2734336089186,카페,강남구,617.9925714285715
강남구,삼성동,50,1,418.2734336089186,학원,강남구,514.5539473684211
서대문구,홍은동,100,2,194.89957859637457,슈퍼마켓,서대문구,2229.990243902439
서대문구,홍은동,100,2,194.89957859637457,음식점,서대문구,991.8634146341464
서대문구,홍은동,100,2,194.89957859637457,카페,서대문구,993.7632653061224
서대문구,홍은동,100,2,194.89957859637457,학원,서대문구,1158.297435897436
서대문구,홍제동,100,2,197.1610262091667,슈퍼마켓,서대문구,2096.6551181102363
서대문구,홍제동,100,2,197.1610262091667,음식점,서대문구,1128.3
서대문구,홍제동,100,2,197.1610262091667,카페,서대문구,534.1428571428572
서대문구,홍제동,100,2,197.1610262091667,학원,서대문구,1095.6357723577237
서대문구,남가좌동,100,2,198.14258429651488,슈퍼마켓,서대문구,2769.079069767442
서대문구,남가좌동,100,2,198.14258429651488,음식점,서대문구,1063.3600000000001
서대문구,남가좌동,100,2,198.14258429651488,카페,서대문구,570.8698412698412
서대문구,남가좌동,100,2,198.14258429651488,학원,서대문구,1648.786440677966
서대문구,북아현동,100,2,198.6625554142344,슈퍼마켓,서대문구,1802.097777777778
서대문구,북아현동,100,2,198.6625554142344,음식점,서대문구,1622.8000000000002
서대문구,북아현동,100,2,198.6625554142344,카페,서대문구,386.51428571428573
서대문구,북아현동,100,2,198.6625554142344,학원,서대문구,1426.24
서대문구,북가좌동,100,2,204.28116583289457,슈퍼마켓,서대문구,1796.0
서대문구,북가좌동,100,2,204.28116583289457,음식점,서대문구,1574.8296296296294
서대문구,북가좌동,100,2,204.28116583289457,카페,서대문구,450.144
서대문구,북가좌동,100,2,204.28116583289457,학원,서대문구,1063.2754716981133
송파구,오금동,100,2,227.64729772194028,슈퍼마켓,송파구,2878.766666666667
송파구,오금동,100,2,227.64729772194028,음식점,송파구,1697.2075471698115
송파구,오금동,100,2,227.64729772194028,카페,송파구,698.2709677419356
송파구,오금동,100,2,227.64729772194028,학원,송파구,1754.8000000000002
송파구,거여동,100,2,236.9487220523352,음식점,송파구,1664.2400000000002
송파구,거여동,100,2,236.9487220523352,카페,송파구,623.8666666666668
송파구,거여동,100,2,236.9487220523352,학원,송파구,1756.3076923076924
서대문구,연희동,100,2,238.0169719668156,슈퍼마켓,서대문구,2066.9333333333334
서대문구,연희동,100,2,238.0169719668156,음식점,서대문구,1940.1579617834395
서대문구,연희동,100,2,238.0169719668156,카페,서대문구,877.6638036809817
서대문구,연희동,100,2,238.0169719668156,학원,서대문구,1134.3172413793104
송파구,가락동,100,2,238.7580751641036,슈퍼마켓,송파구,3200.0
송파구,가락동,100,2,238.7580751641036,음식점,송파구,1767.5818181818186
송파구,가락동,100,2,238.7580751641036,카페,송파구,1181.55
송파구,가락동,100,2,238.7580751641036,학원,송파구,1216.0923076923077
송파구,풍납동,100,2,241.43742276553803,슈퍼마켓,송파구,4200.505263157895
송파구,풍납동,100,2,241.43742276553803,음식점,송파구,750.96
송파구,풍납동,100,2,241.43742276553803,카페,송파구,527.92
송파구,풍납동,100,2,241.43742276553803,학원,송파구,1280.9142857142858
송파구,문정동,100,2,248.1945402548541,슈퍼마켓,송파구,2704.596078431372
송파구,문정동,100,2,248.1945402548541,음식점,송파구,2123.0
송파구,문정동,100,2,248.1945402548541,카페,송파구,872.0150943396226
송파구,문정동,100,2,248.1945402548541,학원,송파구,1195.9064935064935
송파구,마천동,100,2,259.9796066613679,슈퍼마켓,송파구,2260.0533333333333
송파구,마천동,100,2,259.9796066613679,음식점,송파구,714.5982905982908
송파구,마천동,100,2,259.9796066613679,카페,송파구,429.08571428571435
송파구,마천동,100,2,259.9796066613679,학원,송파구,519.0787878787879
송파구,방이동,100,2,261.89998751897014,슈퍼마켓,송파구,2557.952
송파구,방이동,100,2,261.89998751897014,음식점,송파구,2105.912
송파구,방이동,100,2,261.89998751897014,카페,송파구,1182.9732620320856
송파구,방이동,100,2,261.89998751897014,학원,송파구,1676.304
송파구,삼전동,100,2,265.3464523901145,슈퍼마켓,송파구,5093.400000000001
송파구,삼전동,100,2,265.3464523901145,음식점,송파구,1721.48
송파구,삼전동,100,2,265.3464523901145,카페,송파구,859.751724137931
송파구,삼전동,100,2,265.3464523901145,학원,송파구,1726.420512820513
송파구,장지동,100,2,266.7773314945413,슈퍼마켓,송파구,942.0
송파구,장지동,100,2,266.7773314945413,음식점,송파구,1670.6933333333336
송파구,장지동,100,2,266.7773314945413,카페,송파구,468.18909090909096
송파구,장지동,100,2,266.7773314945413,학원,송파구,944.8228571428572
광진구,능동,100,2,270.2469185539098,슈퍼마켓,광진구,5258.666666666667
광진구,능동,100,2,270.2469185539098,음식점,광진구,2136.819512195122
광진구,능동,100,2,270.2469185539098,카페,광진구,988.1333333333334
광진구,능동,100,2,270.2469185539098,학원,광진구,1063.3481481481483
광진구,군자동,100,2,270.6212983418211,슈퍼마켓,광진구,2132.96
광진구,군자동,100,2,270.6212983418211,음식점,광진구,2434.756923076923
광진구,군자동,100,2,270.6212983418211,카페,광진구,620.8680851063831
광진구,군자동,100,2,270.6212983418211,학원,광진구,1224.7466666666667
